total_pymnt_inv,int_rate,out_prncp,purpose,total_pymnt,zip_code,funded_amnt_inv,dti,revol_util,term,delinq_2yrs,total_rec_prncp,out_prncp_inv,emp_length,verification_status,funded_amnt,disbursement_method,home_ownership,loan_amnt,revol_bal,pub_rec,total_rec_int,recoveries,grade,addr_state,sub_grade,mths_since_last_record,total_bc_limit,inq_last_6mths,all_util,annual_inc,collection_recovery_fee,default_flag
9867.72,12.61,34412.46,debt_consolidation,9867.72,778xx,40000.0,9.95,80.2,60 months,0,5587.54,34412.46,10.0,Source Verified,40000,Cash,MORTGAGE,40000,24529,0,4280.18,0.0,C,TX,C1,76.0,26300,0.0,57.0,264000.0,0.0,0.0
5153.81,11.39,1883.78,debt_consolidation,5153.81,018xx,6025.0,18.1,11.3,36 months,0,4141.22,1883.78,4.0,Not Verified,6025,Cash,RENT,6025,5607,0,1012.59,0.0,B,MA,B3,76.0,42500,0.0,43.0,50000.0,0.0,0.0
1927.1,10.08,8535.24,debt_consolidation,1927.1,786xx,10000.0,18.02,37.8,36 months,1,1464.76,8535.24,10.0,Source Verified,10000,Cash,MORTGAGE,10000,2984,0,462.34,0.0,B,TX,B1,76.0,3000,1.0,38.0,60000.0,0.0,0.0
2810.58,7.84,18048.75,debt_consolidation,2810.58,910xx,20000.0,4.33,18.0,60 months,0,1951.25,18048.75,6.0,Source Verified,20000,DirectPay,RENT,20000,17835,0,859.33,0.0,A,CA,A4,76.0,99300,0.0,18.0,95000.0,0.0,0.0
13314.66,13.49,0.0,debt_consolidation,13314.6564690164,915xx,12000.0,18.65,46.5,36 months,0,12000.0,0.0,1.0,Source Verified,12000,Cash,RENT,12000,10780,1,1314.66,0.0,C,CA,C2,71.0,21900,0.0,28.0,72000.0,0.0,0.0
7197.24,14.47,30163.1,other,7197.24,208xx,35000.0,11.38,58.8,36 months,0,4836.9,30163.1,5.0,Verified,35000,Cash,RENT,35000,37899,0,2360.34,0.0,C,MD,C2,76.0,60500,0.0,66.0,130000.0,0.0,0.0
27163.05,15.31,0.0,credit_card,27163.0503469933,553xx,24000.0,31.78,98.0,36 months,0,24000.0,0.0,10.0,Source Verified,24000,Cash,MORTGAGE,24000,57153,0,3163.05,0.0,C,MN,C5,76.0,57500,0.0,92.0,75000.0,0.0,0.0
954.6,16.91,19568.47,debt_consolidation,954.6,945xx,20000.0,21.68,49.6,60 months,0,431.53,19568.47,6.0,Verified,20000,Cash,RENT,20000,12258,0,523.07,0.0,C,CA,C5,76.0,14300,0.0,54.0,48480.0,0.0,0.0
13152.95,10.49,4201.3,debt_consolidation,13152.95,945xx,15000.0,12.15,35.5,36 months,1,10798.7,4201.3,10.0,Not Verified,15000,Cash,MORTGAGE,15000,9985,0,2354.25,0.0,B,CA,B2,76.0,26500,0.0,36.0,80000.0,0.0,0.0
4252.52,16.01,13932.92,debt_consolidation,4252.52,945xx,16000.0,28.18,53.5,60 months,0,2067.08,13932.92,10.0,Not Verified,16000,Cash,RENT,16000,10278,0,2185.44,0.0,C,CA,C5,76.0,9800,0.0,64.0,70000.0,0.0,0.0
7270.42,16.01,26500.4,debt_consolidation,7270.42,365xx,30000.0,87.18,76.0,60 months,0,3499.6,26500.4,10.0,Verified,30000,Cash,OWN,30000,7600,0,3770.82,0.0,C,AL,C5,76.0,8700,1.0,72.0,19000.0,0.0,0.0
1287.72,10.08,7027.6,debt_consolidation,1287.72,258xx,8000.0,28.9,7.2,36 months,0,972.4,7027.6,6.0,Not Verified,8000,Cash,OWN,8000,3021,0,315.32,0.0,B,WV,B1,76.0,22800,0.0,41.0,36000.0,0.0,0.0
5064.6,6.71,10731.64,credit_card,5064.6,123xx,15000.0,22.21,53.0,36 months,0,4268.36,10731.64,2.0,Not Verified,15000,Cash,RENT,15000,11072,0,796.24,0.0,A,NY,A3,76.0,15500,0.0,49.0,78416.0,0.0,0.0
